"concurso","data","ordem","bola"
97,1998-01-11,4,14
97,1998-01-11,5,5
97,1998-01-11,6,35
98,1998-01-18,1,43
98,1998-01-18,2,33
98,1998-01-18,3,14
98,1998-01-18,4,31
98,1998-01-18,5,35
98,1998-01-18,6,13
99,1998-01-25,1,30
99,1998-01-25,2,33
99,1998-01-25,3,24
99,1998-01-25,4,11
99,1998-01-25,5,46
99,1998-01-25,6,60
100,1998-02-01,1,46
100,1998-02-01,2,48
100,1998-02-01,3,30
100,1998-02-01,4,14
100,1998-02-01,5,29
100,1998-02-01,6,51
101,1998-02-08,1,39
101,1998-02-08,2,1
101,1998-02-08,3,37
101,1998-02-08,4,31
101,1998-02-08,5,29
101,1998-02-08,6,18
102,1998-02-15,1,44
102,1998-02-15,2,42
102,1998-02-15,3,37
102,1998-02-15,4,56
102,1998-02-15,5,19
102,1998-02-15,6,20
103,1998-02-22,1,9
103,1998-02-22,2,1
103,1998-02-22,3,57
103,1998-02-22,4,7
103,1998-02-22,5,54
103,1998-02-22,6,49
104,1998-03-01,1,13
104,1998-03-01,2,1
104,1998-03-01,3,38
104,1998-03-01,4,21
104,1998-03-01,5,52
104,1998-03-01,6,4
105,1998-03-08,1,3
105,1998-03-08,2,13
105,1998-03-08,3,31
105,1998-03-08,4,43
105,1998-03-08,5,46
105,1998-03-08,6,49
106,1998-03-15,1,24
106,1998-03-15,2,16
106,1998-03-15,3,38
106,1998-03-15,4,5
106,1998-03-15,5,39
106,1998-03-15,6,35
107,1998-03-22,1,2
107,1998-03-22,2,24
107,1998-03-22,3,52
107,1998-03-22,4,4
107,1998-03-22,5,16
107,1998-03-22,6,51
108,1998-03-29,1,60
108,1998-03-29,2,29
108,1998-03-29,3,34
108,1998-03-29,4,24
108,1998-03-29,5,21
108,1998-03-29,6,59
109,1998-04-04,1,54
109,1998-04-04,2,13
109,1998-04-04,3,44
109,1998-04-04,4,49
109,1998-04-04,5,48
109,1998-04-04,6,1
110,1998-04-11,1,57
110,1998-04-11,2,58
110,1998-04-11,3,18
110,1998-04-11,4,31
110,1998-04-11,5,43
110,1998-04-11,6,52
111,1998-04-18,1,52
111,1998-04-18,2,32
111,1998-04-18,3,4
111,1998-04-18,4,33
111,1998-04-18,5,25
111,1998-04-18,6,22
112,1998-04-25,1,37
112,1998-04-25,2,43
112,1998-04-25,3,34
112,1998-04-25,4,20
112,1998-04-25,5,12
112,1998-04-25,6,42
113,1998-05-02,1,34
113,1998-05-02,2,54
113,1998-05-02,3,26
113,1998-05-02,4,28
113,1998-05-02,5,55
113,1998-05-02,6,7
114,1998-05-09,1,47
114,1998-05-09,2,54
114,1998-05-09,3,18
114,1998-05-09,4,6
114,1998-05-09,5,12
114,1998-05-09,6,37
115,1998-05-16,1,6
115,1998-05-16,2,14
115,1998-05-16,3,24
115,1998-05-16,4,20
115,1998-05-16,5,4
115,1998-05-16,6,38
116,1998-05-23,1,36
116,1998-05-23,2,42
116,1998-05-23,3,32
116,1998-05-23,4,5
116,1998-05-23,5,13
116,1998-05-23,6,51
117,1998-05-30,1,53
117,1998-05-30,2,42
117,1998-05-30,3,27
117,1998-05-30,4,20
117,1998-05-30,5,33
117,1998-05-30,6,25
118,1998-06-06,1,22
118,1998-06-06,2,57
118,1998-06-06,3,37
118,1998-06-06,4,9
118,1998-06-06,5,25
118,1998-06-06,6,56
119,1998-06-13,1,47
119,1998-06-13,2,21
119,1998-06-13,3,1
119,1998-06-13,4,50
119,1998-06-13,5,36
119,1998-06-13,6,38
120,1998-06-20,1,46
120,1998-06-20,2,45
120,1998-06-20,3,16
120,1998-06-20,4,40
120,1998-06-20,5,27
120,1998-06-20,6,3
121,1998-06-27,1,53
121,1998-06-27,2,41
121,1998-06-27,3,44
121,1998-06-27,4,2
121,1998-06-27,5,29
121,1998-06-27,6,55
122,1998-07-04,1,20
122,1998-07-04,2,43
122,1998-07-04,3,39
122,1998-07-04,4,11
122,1998-07-04,5,53
122,1998-07-04,6,17
123,1998-07-11,1,13
123,1998-07-11,2,42
123,1998-07-11,3,16
123,1998-07-11,4,32
123,1998-07-11,5,14
123,1998-07-11,6,26
124,1998-07-18,1,52
124,1998-07-18,2,5
124,1998-07-18,3,34
124,1998-07-18,4,57
124,1998-07-18,5,15
124,1998-07-18,6,41
125,1998-07-25,1,56
125,1998-07-25,2,47
125,1998-07-25,3,25
125,1998-07-25,4,59
125,1998-07-25,5,53
125,1998-07-25,6,41
126,1998-08-01,1,32
126,1998-08-01,2,28
126,1998-08-01,3,6
126,1998-08-01,4,10
126,1998-08-01,5,11
126,1998-08-01,6,40
127,1998-08-08,1,59
127,1998-08-08,2,21
127,1998-08-08,3,51
127,1998-08-08,4,54
127,1998-08-08,5,29
127,1998-08-08,6,50
128,1998-08-15,1,23
128,1998-08-15,2,43
128,1998-08-15,3,3
128,1998-08-15,4,21
128,1998-08-15,5,9
128,1998-08-15,6,18
129,1998-08-22,1,46
129,1998-08-22,2,54
129,1998-08-22,3,10
129,1998-08-22,4,9
129,1998-08-22,5,1
129,1998-08-22,6,32
130,1998-08-29,1,13
130,1998-08-29,2,42
130,1998-08-29,3,38
130,1998-08-29,4,49
130,1998-08-29,5,53
130,1998-08-29,6,29
131,1998-09-05,1,30
131,1998-09-05,2,9
131,1998-09-05,3,17
131,1998-09-05,4,27
131,1998-09-05,5,4
131,1998-09-05,6,44
132,1998-09-12,1,44
132,1998-09-12,2,35
132,1998-09-12,3,50
132,1998-09-12,4,41
132,1998-09-12,5,9
132,1998-09-12,6,7
133,1998-09-19,1,19
133,1998-09-19,2,57
133,1998-09-19,3,6
133,1998-09-19,4,39
133,1998-09-19,5,34
133,1998-09-19,6,5
134,1998-09-26,1,60
134,1998-09-26,2,32
134,1998-09-26,3,25
134,1998-09-26,4,36
134,1998-09-26,5,52
134,1998-09-26,6,4
135,1998-10-03,1,35
135,1998-10-03,2,40
135,1998-10-03,3,21
135,1998-10-03,4,59
135,1998-10-03,5,53
135,1998-10-03,6,22
136,1998-10-10,1,17
136,1998-10-10,2,25
136,1998-10-10,3,45
136,1998-10-10,4,38
136,1998-10-10,5,1
136,1998-10-10,6,59
137,1998-10-17,1,26
137,1998-10-17,2,15
137,1998-10-17,3,16
137,1998-10-17,4,22
137,1998-10-17,5,19
137,1998-10-17,6,49
138,1998-10-24,1,41
138,1998-10-24,2,14
138,1998-10-24,3,37
138,1998-10-24,4,5
138,1998-10-24,5,40
138,1998-10-24,6,27
139,1998-10-31,1,26
139,1998-10-31,2,27
139,1998-10-31,3,13
139,1998-10-31,4,42
139,1998-10-31,5,41
139,1998-10-31,6,3
140,1998-11-07,1,55
140,1998-11-07,2,31
140,1998-11-07,3,46
140,1998-11-07,4,44
140,1998-11-07,5,41
140,1998-11-07,6,7
141,1998-11-14,1,10
141,1998-11-14,2,22
141,1998-11-14,3,42
141,1998-11-14,4,13
141,1998-11-14,5,41
141,1998-11-14,6,58
142,1998-11-21,1,20
142,1998-11-21,2,59
142,1998-11-21,3,19
142,1998-11-21,4,54
142,1998-11-21,5,15
142,1998-11-21,6,8
143,1998-11-28,1,40
143,1998-11-28,2,18
143,1998-11-28,3,6
143,1998-11-28,4,20
143,1998-11-28,5,50
143,1998-11-28,6,53
144,1998-12-05,1,8
144,1998-12-05,2,32
144,1998-12-05,3,44
144,1998-12-05,4,36
144,1998-12-05,5,45
144,1998-12-05,6,55
145,1998-12-12,1,43
145,1998-12-12,2,15
145,1998-12-12,3,41
145,1998-12-12,4,51
145,1998-12-12,5,16
145,1998-12-12,6,31
146,1998-12-19,1,51
146,1998-12-19,2,34
146,1998-12-19,3,25
146,1998-12-19,4,60
146,1998-12-19,5,42
146,1998-12-19,6,32
147,1998-12-24,1,24
147,1998-12-24,2,6
147,1998-12-24,3,38
147,1998-12-24,4,23
147,1998-12-24,5,28
147,1998-12-24,6,16
148,1998-12-31,1,32
148,1998-12-31,2,55
148,1998-12-31,3,59
148,1998-12-31,4,41
148,1998-12-31,5,58
148,1998-12-31,6,35
149,1999-01-09,1,11
149,1999-01-09,2,45
149,1999-01-09,3,48
149,1999-01-09,4,7
149,1999-01-09,5,28
149,1999-01-09,6,20
150,1999-01-16,1,50
150,1999-01-16,2,44
150,1999-01-16,3,12
150,1999-01-16,4,55
150,1999-01-16,5,52
150,1999-01-16,6,54
151,1999-01-23,1,3
151,1999-01-23,2,43
151,1999-01-23,3,16
151,1999-01-23,4,56
151,1999-01-23,5,52
151,1999-01-23,6,20
152,1999-01-30,1,12
152,1999-01-30,2,5
152,1999-01-30,3,15
152,1999-01-30,4,51
152,1999-01-30,5,58
152,1999-01-30,6,29
153,1999-02-06,1,47
153,1999-02-06,2,2
153,1999-02-06,3,31
153,1999-02-06,4,42
153,1999-02-06,5,45
153,1999-02-06,6,30
154,1999-02-13,1,8
154,1999-02-13,2,10
154,1999-02-13,3,24
154,1999-02-13,4,33
154,1999-02-13,5,45
154,1999-02-13,6,48
155,1999-02-20,1,12
155,1999-02-20,2,32
155,1999-02-20,3,44
155,1999-02-20,4,43
155,1999-02-20,5,35
155,1999-02-20,6,30
156,1999-02-27,1,52
156,1999-02-27,2,23
156,1999-02-27,3,42
156,1999-02-27,4,17
156,1999-02-27,5,55
156,1999-02-27,6,49
157,1999-03-06,1,17
157,1999-03-06,2,13
157,1999-03-06,3,4
157,1999-03-06,4,44
157,1999-03-06,5,41
157,1999-03-06,6,21
158,1999-03-13,1,58
158,1999-03-13,2,43
158,1999-03-13,3,51
158,1999-03-13,4,14
158,1999-03-13,5,17
158,1999-03-13,6,4
159,1999-03-20,1,16
159,1999-03-20,2,9
159,1999-03-20,3,50
159,1999-03-20,4,58
159,1999-03-20,5,11
159,1999-03-20,6,35
160,1999-03-27,1,13
160,1999-03-27,2,42
160,1999-03-27,3,52
160,1999-03-27,4,58
160,1999-03-27,5,2
160,1999-03-27,6,54
161,1999-04-03,1,25
161,1999-04-03,2,37
161,1999-04-03,3,30
161,1999-04-03,4,39
161,1999-04-03,5,6
161,1999-04-03,6,41
162,1999-04-10,1,23
162,1999-04-10,2,33
162,1999-04-10,3,51
162,1999-04-10,4,38
162,1999-04-10,5,48
162,1999-04-10,6,21
163,1999-04-17,1,41
163,1999-04-17,2,56
163,1999-04-17,3,27
163,1999-04-17,4,36
163,1999-04-17,5,53
163,1999-04-17,6,8
164,1999-04-24,1,4
164,1999-04-24,2,19
164,1999-04-24,3,14
164,1999-04-24,4,10
164,1999-04-24,5,44
164,1999-04-24,6,28
165,1999-05-01,1,39
165,1999-05-01,2,56
165,1999-05-01,3,19
165,1999-05-01,4,23
165,1999-05-01,5,10
165,1999-05-01,6,35
166,1999-05-08,1,60
166,1999-05-08,2,57
166,1999-05-08,3,59
166,1999-05-08,4,13
166,1999-05-08,5,12
166,1999-05-08,6,22
167,1999-05-15,1,1
167,1999-05-15,2,38
167,1999-05-15,3,48
167,1999-05-15,4,28
167,1999-05-15,5,11
167,1999-05-15,6,33
168,1999-05-22,1,45
168,1999-05-22,2,2
168,1999-05-22,3,35
168,1999-05-22,4,9
168,1999-05-22,5,50
168,1999-05-22,6,31
169,1999-05-29,1,52
169,1999-05-29,2,51
169,1999-05-29,3,37
169,1999-05-29,4,13
169,1999-05-29,5,21
169,1999-05-29,6,1
170,1999-06-05,1,7
170,1999-06-05,2,51
170,1999-06-05,3,55
170,1999-06-05,4,41
170,1999-06-05,5,58
170,1999-06-05,6,46
171,1999-06-12,1,54
171,1999-06-12,2,27
171,1999-06-12,3,4
171,1999-06-12,4,43
171,1999-06-12,5,40
171,1999-06-12,6,46
172,1999-06-19,1,49
172,1999-06-19,2,36
172,1999-06-19,3,14
172,1999-06-19,4,26
172,1999-06-19,5,35
172,1999-06-19,6,10
173,1999-06-26,1,29
173,1999-06-26,2,28
173,1999-06-26,3,49
173,1999-06-26,4,17
173,1999-06-26,5,42
173,1999-06-26,6,50
174,1999-07-03,1,11
174,1999-07-03,2,52
174,1999-07-03,3,22
174,1999-07-03,4,23
174,1999-07-03,5,36
174,1999-07-03,6,59
175,1999-07-10,1,10
175,1999-07-10,2,20
175,1999-07-10,3,13
175,1999-07-10,4,1
175,1999-07-10,5,42
175,1999-07-10,6,50
176,1999-07-17,1,28
176,1999-07-17,2,4
176,1999-07-17,3,1
176,1999-07-17,4,45
176,1999-07-17,5,53
176,1999-07-17,6,3
177,1999-07-24,1,35
177,1999-07-24,2,22
177,1999-07-24,3,39
177,1999-07-24,4,41
177,1999-07-24,5,59
177,1999-07-24,6,38
178,1999-07-31,1,5
178,1999-07-31,2,27
178,1999-07-31,3,19
178,1999-07-31,4,26
178,1999-07-31,5,15
178,1999-07-31,6,33
179,1999-08-07,1,6
179,1999-08-07,2,53
179,1999-08-07,3,5
179,1999-08-07,4,26
179,1999-08-07,5,27
179,1999-08-07,6,23
